SubjectID,MeanFD,MeanStdDVARS,tSNR_mean,CJV,EFC,WM2MAX
sub-1108916,0.10973447666077157,1.4518438441558443,101.48511505126953,0.4359490418681514,0.5061,0.8737549996625524
sub-1206380,0.12697708717368006,1.2462796623376622,86.84268951416016,0.42953828977985953,0.4792,0.8648444415793504
sub-1340333,0.12436525245477079,1.3030977662337664,99.22718048095703,0.5052950877934732,0.5075,0.836516347814937
sub-1386056,2.1081976519920995,1.335161922077922,18.824382781982422,0.6433603276783888,0.4955,0.7966514693483311
sub-1411223,0.11776406017653486,1.350513935064935,110.29458618164062,0.4240986473628441,0.4935,0.8712181865917795
sub-1418396,0.12477718481290578,1.3886124415584415,90.08118438720703,0.4279051278525459,0.5166,0.868627941079279
sub-1421489,0.08127992292311122,1.1740025454545455,121.4458236694336,0.41667701641655763,0.5232,0.8747195122945841
sub-1481430,0.0953251409058476,1.1320894933333334,110.28402709960938,0.45104394995443686,0.5026,0.857383670712474
sub-1502229,0.053645656402175085,1.1680031733333331,122.04528045654297,0.4464589172758023,0.504,0.8745161312797691
sub-1536593,0.9290235145336455,1.2986311168831168,26.022701263427734,0.6719104366457547,0.6148,0.7823046141860548
sub-1548937,0.06383765142151626,1.1062872727272726,122.4395523071289,0.4283370785031746,0.4876,0.8652875909895809
sub-1552181,0.04343116646602014,1.2442014025974026,144.95619201660156,0.4387988846507484,0.495,0.8680263964244105
sub-1647968,0.05662871192905423,1.275643935064935,111.05337524414062,0.4262701811461325,0.5133,0.8771508278795133
sub-1664335,0.13611960840856957,1.3484057012987014,108.83688354492188,0.5113551768629178,0.5213,0.846174603688251
sub-1679142,0.3159336301388815,1.0737014935064935,46.30191421508789,0.5441779936220047,0.5229,0.8278946891933002
sub-1696588,0.6349119194203665,1.1952557012987013,30.804033279418945,0.6650276046293585,0.5293,0.7830083230073939
sub-1743472,0.12711356802215726,1.3250038961038964,107.47850799560547,0.7233774814166124,0.6501,0.7643185156246842
sub-2054310,0.14296427388185382,1.2038084415584416,84.38169860839844,0.44707594317325294,0.5046,0.8612265065865777
sub-2054998,1.103204063349563,1.3676297012987013,21.20348358154297,0.44730844017917626,0.5196,0.8692328687545816
sub-2071989,0.0896748598775689,1.2777904155844155,117.8538818359375,0.4634135892517287,0.4973,0.8509030451346874
sub-2124248,0.6560883431649772,1.1876719220779224,37.748382568359375,0.44608277857774087,0.4746,0.8623992975166442
sub-2155356,0.10135852958692111,1.2536519870129872,110.26286315917969,0.4214223913226646,0.4943,0.859884146475546
sub-2232376,0.18567650648535286,1.2821696233766235,79.24938201904297,0.6812290139626872,0.5853,0.7653208624713808
sub-2232413,0.16290556873935555,1.158839987012987,72.66397857666016,0.4465600722584721,0.4593,0.8688994506764706
sub-2288903,3.207395142033366,1.1888171818181819,13.081772804260254,0.43164081730184656,0.4929,0.8699878279454226
sub-2292940,1.6400733952939104,1.2363575714285713,20.467662811279297,0.5574660741925377,0.491,0.8224165916804754
sub-2409220,0.4604200423987297,1.2174299610389612,34.31473922729492,0.6400259307694571,0.5629,0.7987006737463982
sub-2415970,0.1215829330817061,1.142764974025974,93.15520477294922,0.4220128356917984,0.4995,0.8795550139949649
sub-2426523,0.18009925718082231,1.3101308701298702,85.22608184814453,0.452348495843095,0.4896,0.8728974537531453
sub-2427434,0.10648779451241452,1.2712857922077925,95.47703552246094,0.44413358198853664,0.4911,0.8835000410477426
sub-2535204,3.3700515659838475,1.152620844155844,13.594406127929688,0.7250737677731051,0.6571,0.7656875109393548
sub-2559559,0.6816676910095283,1.5813919090909092,30.108243942260742,0.6149096846904344,0.54,0.8065415934703797
sub-2561174,0.6026547676018367,1.1241306103896103,36.757713317871094,0.5981461012140362,0.5296,0.8034041773376066
sub-2571197,0.0786911666255427,1.317549,110.3369369506836,0.4151172896564337,0.5001,0.8633425319699006
sub-2578455,0.1614056145047145,1.2642051688311688,92.57647705078125,0.4408680578345199,0.454,0.856735665470759
